company_id	ticker	canonical_input	taxonomy_namespace	taxonomy_concept	disposition	accounting_perimeter	observed_records	active_annual_sources	source_forms	reason_code	professional_review_status
sec-cik:0000097476	TXN	net_income	us-gaap	NetIncomeLoss	canonical	consolidated_periodic_filing	272	2	10-K,10-Q,10-Q/A,8-K	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0000097476	TXN	operating_cash_flow	us-gaap	NetCashProvidedByUsedInOperatingActivities	canonical	consolidated_periodic_filing	76	2	10-K,10-Q	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0000097476	TXN	operating_income	us-gaap	OperatingIncomeLoss	canonical	consolidated_periodic_filing	280	2	10-K,10-Q,10-Q/A,8-K	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0000097476	TXN	revenue	us-gaap	RevenueFromContractWithCustomerExcludingAssessedTax	canonical	consolidated_periodic_filing	128	2	10-K,10-Q	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0000097476	TXN	revenue	us-gaap	SalesRevenueNet	rejected	unreviewed	152	0	10-K,10-Q,10-Q/A,8-K	unreviewed_issuer_specific_concept	not_submitted_for_review
sec-cik:0000097476	TXN	stockholders_equity	us-gaap	StockholdersEquity	canonical	consolidated_periodic_filing	134	2	10-K,10-Q,10-Q/A,8-K	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0000097476	TXN	total_assets	us-gaap	Assets	canonical	consolidated_periodic_filing	138	2	10-K,10-Q,10-Q/A,8-K	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0000097476	TXN	total_liabilities	us-gaap	Liabilities	canonical	consolidated_periodic_filing	138	2	10-K,10-Q,10-Q/A,8-K	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0000320193	AAPL	capital_expenditure	us-gaap	PaymentsToAcquireProductiveAssets	rejected	unreviewed	59	0	10-K,10-K/A,10-Q,8-K	unreviewed_issuer_specific_concept	not_submitted_for_review
sec-cik:0000320193	AAPL	capital_expenditure	us-gaap	PaymentsToAcquirePropertyPlantAndEquipment	canonical	consolidated_periodic_filing	103	2	10-K,10-Q	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0000320193	AAPL	net_income	us-gaap	NetIncomeLoss	canonical	consolidated_periodic_filing	334	2	10-K,10-K/A,10-Q,8-K	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0000320193	AAPL	operating_cash_flow	us-gaap	NetCashProvidedByUsedInOperatingActivities	canonical	consolidated_periodic_filing	132	2	10-K,10-K/A,10-Q,8-K	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0000320193	AAPL	operating_income	us-gaap	OperatingIncomeLoss	canonical	consolidated_periodic_filing	230	2	10-K,10-K/A,10-Q,8-K	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0000320193	AAPL	revenue	us-gaap	RevenueFromContractWithCustomerExcludingAssessedTax	canonical	consolidated_periodic_filing	113	2	10-K,10-Q	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0000320193	AAPL	revenue	us-gaap	Revenues	rejected	unreviewed	11	0	10-K	unreviewed_issuer_specific_concept	not_submitted_for_review
